Date,12 Month Price,18 Month Price,24 Month Price,36 Month Price
02/11/2022,340.43,,286.44,254.9
03/11/2022,360.86,,301.65,266.9
04/11/2022,361.93,,302.48,267.12
07/11/2022,360.29,,300.07,264.82
08/11/2022,339.93,,288.42,256.82
09/11/2022,334.73,,286.79,255.71
10/11/2022,317.8,,276.46,248.03
11/11/2022,310.29,,271.72,244.54
14/11/2022,291.41,,257.51,232.66
15/11/2022,302.21,,266.16,240.37
16/11/2022,313.33,,275.3,246.09
17/11/2022,298.73,,265.62,238.34
18/11/2022,298.73,,265.62,238.34
21/11/2022,294.69,,265.63,238.01
22/11/2022,300.45,,270.56,241.47
23/11/2022,313.81,,278.88,247.59
24/11/2022,326.08,,286.33,252.26
25/11/2022,314.06,,290.04,256.02
28/11/2022,327.88,,288.01,254.49
29/11/2022,327.79,,288.49,255.24
30/11/2022,349.62,,302.17,265.14
01/12/2022,376.69,,317.48,275.7
02/12/2022,370.3,,313.31,273.5
05/12/2022,367.46,,314.44,282.81
06/12/2022,359.8,,310.23,269.62
07/12/2022,358.97,,310.87,270.32
08/12/2022,370.58,,321.02,278.58
09/12/2022,353.7,,308.76,269.34
12/12/2022,347.86,,306.57,266.94
13/12/2022,329.69,,296.71,261.49
14/12/2022,321.41,,293.22,259.75
15/12/2022,306.69,,281.31,251.54
16/12/2022,311.99,,283.22,252.98
19/12/2022,285.75,,261.57,235.61
20/12/2022,269.72,,248.54,225.17
21/12/2022,269.72,,248.54,225.17
22/12/2022,249.52,,232.31,212.45
23/12/2022,240.91,,226.75,209.75
03/01/2023,187.68,,193.54,185.01
04/01/2023,178.3,,187.08,180.97
05/01/2023,162.66,,174.25,171.28
06/01/2023,169.69,,177.5,172.6
09/01/2023,168.04,,176.07,172.91
10/01/2023,173.222,,182.42,176.885
11/01/2023,164.091,,174.185,169.407
12/01/2023,155.676,,166.951,163.636
13/01/2023,158.09,,167.09,163.09
16/01/2023,151.82,,160.47,157.01
18/01/2023,137,,145.96,144.67
19/01/2023,144.88,,154.3,152.01
20/01/2023,143.24,,152.12,149.21
23/01/2023,152.86,,162.1,156.9
24/01/2023,171.31,,158.76,159.22
25/01/2023,158.61,,147.99,151.21
26/01/2023,153.09,,143.31,147.28
27/01/2023,152.46,,143.26,148.1
30/01/2023,154.51,,145.66,150.51
31/01/2023,155.43,,147.08,152.09
01/02/2023,163.71,,162.06,154.97
02/02/2023,167.77,,165.36,157.44
03/02/2023,164.1,,163.27,155.88
06/02/2023,173.45,,170.38,160.82
07/02/2023,165.02,,163.38,155.27
08/02/2023,159.44,,158.37,150.84
09/02/2023,156.18,,155.13,147.89
